file,lines
src/docs/openapi.ts,394
src/context/AppContext.tsx,296
src/services/types.ts,289
src/shared/lib/image-converter.ts,271
src/lib/prompts.ts,211
src/components/Sidebar.tsx,162
src/services/nanobanana.ts,134
src/app/experience/page.tsx,133
src/components/Canvas.tsx,120
src/constants/index.ts,115
src/application/usecases/GenerateCardUseCase.ts,114
src/services/deepseek.ts,109
src/interfaces/http/controllers/GenerateController.ts,98
src/middleware.ts,95
src/components/CardPreview.tsx,92
src/shared/lib/cache.ts,89
src/components/ParticlesBackground.tsx,81
src/interfaces/http/controllers/finance/RiskController.ts,78
src/components/Toast.tsx,70
src/application/finance/RiskUseCase.ts,68
src/domain/finance/pricing/index.ts,65
src/hooks/useExport.ts,63
src/shared/lib/metrics.ts,63
src/interfaces/http/controllers/finance/PricingController.ts,62
src/lib/logger.ts,62
src/shared/lib/analytics.ts,61
src/components/ParallaxHero.tsx,51
src/app/page.tsx,49
src/config/index.ts,49
src/services/index.ts,49
src/shared/lib/rateLimiter.ts,49
src/components/CommandPalette.tsx,48
src/components/HoverTiltCard.tsx,47
src/types/index.ts,44
src/lib/http.ts,43
src/app/finance/page.tsx,42
src/interfaces/http/controllers/ExportController.ts,42
src/hooks/useCardGeneration.ts,40
src/application/finance/PricingUseCase.ts,39
src/components/CardEditor.tsx,39
src/domain/finance/instruments/index.ts,39
src/components/TemplateGallery.tsx,37
src/components/Navbar.tsx,36
src/components/NeonHeading.tsx,35
src/domain/errors.ts,35
src/domain/finance/risk/index.ts,35
src/domain/finance/timeseries/index.ts,35
src/services/copytext.ts,35
src/components/ProgressRing.tsx,34
src/shared/lib/decimal.ts,34
src/application/usecases/ExportImagesUseCase.ts,33
src/domain/finance/validation/index.ts,33
src/hooks/useSessionId.ts,32
src/shared/lib/audit.ts,32
src/types/api.ts,32
src/interfaces/http/middleware/rbac.ts,31
src/app/layout.tsx,30
src/components/SegmentedControl.tsx,29
src/types/json-schema.ts,28
src/components/ThemeToggle.tsx,27
src/shared/lib/playwright.ts,26
src/components/GlowButton.tsx,25
src/container/index.ts,24
src/shared/lib/redis.ts,24
src/types/schemas.ts,24
src/app/admin/page.tsx,23
src/app/error.tsx,23
src/app/ClientLayout.tsx,22
src/app/api/finance/risk/route.ts,22
src/interfaces/http/controllers/finance/ReportingController.ts,21
src/app/api/finance/pricing/route.ts,20
src/app/api/track/route.ts,19
src/hooks/useHotkeys.ts,19
src/domain/finance/errors.ts,17
src/app/api-docs/page.tsx,14
src/infrastructure/repositories/CacheRepository.ts,14
src/infrastructure/workers/financePool.ts,14
src/components/FrostedPanel.tsx,13
src/domain/finance/reporting/index.ts,13
src/interfaces/http/middleware/auth.ts,13
src/app/api/export/route.ts,12
src/app/api/finance/report/route.ts,12
src/app/api/generate/route.ts,12
src/app/api/kpi/route.ts,11
src/app/api/openapi/route.ts,11
src/components/CosmicBackground.tsx,11
src/infrastructure/providers/AIProvider.ts,10
src/infrastructure/repositories/RateLimiterRepository.ts,10
src/shared/lib/ab.ts,10
src/application/finance/ReportingUseCase.ts,9
src/features/card-generator/index.ts,2
src/lib/image-converter.ts,2
src/lib/rateLimiter.ts,2
src/lib/redis.ts,2
src/types/ambient.d.ts,2
